他感冒了。	tā gǎn mào le。	He caught a cold.
我们必须提高生产水平。	wǒ men bì xū tí gāo shēng chǎn shuǐ píng。	We must increase production levels.
他坐在风口上，着凉了。	tā zuò zài fēng kǒu shàng， zháo liáng le。	He sat in a draught and catch a cold.
晚课后，男孩子们去睡了。	wǎn kè hòu， nán hái zǐ men qù shuì le。	The boys went to sleep after vespers.
每个学生发了一本课本。	měi gè xué sheng fà le yī běn kè běn。	Each student was issued with a textbook.
要是我再有一次机会就好了。	yào shì wǒ zài yǒu yī cì jī huì jiù hào le。	If only I had another chance.
这种菜好吃不好做.	zhè zhǒng cài hǎo chī bù hǎo zuò.	This dish is delicious but rather a trouble to prepare.
他洗澡时想出了这个主意。	tā xǐ zǎo shí xiǎng chū le zhè gè zhǔ yi。	The idea came to him in his bath.
他们之间的交易告吹了。	tā men zhī jiān de jiāo yì gào chuī le。	The transaction between them was dismissed.
他用一把刀子将苹果切开。	tā yòng yī bǎ dāo zi jiàng píng guǒ qiè kāi。	He cleaved an apple with a knife.
我没有注意到他已经走了。	wǒ méi yǒu zhù yì dào tā yǐ jīng zǒu le。	I failed to note that he had left.
孩子们假装开商店玩儿.	hái zi men jiǎ zhuāng kāi shāng diàn wánr.	The children were playing at keeping shop.
我们在旁边的地里放羊。	wǒ men zài páng biān de de lǐ fàng yáng。	We are grazing the sheep in the next field.
那些男孩子们渴望下课。	nà xiē nán hái zǐ men kě wàng xià kè。	The boys were itching for the lesson to end.
夏天他总是高高兴兴的。	xià tiān tā zǒng shì gāo gāo xìng xìng de。	He's always full of cheer in summer.
我们一星期三节化学课。	wǒ men yī xīng qī sān jié huà xué kè。	We have three periods of chemistry a week.
你不是支持我就是反对我。	nǐ bú shì zhī chí wǒ jiù shì fǎn duì wǒ。	You are either with me or against me.
他想当医生或者经商.	tā xiǎng dàng yī shēng huò zhě jīng shāng.	He wants to be a doctor or go into business.
门口有个男人要求见你。	mén kǒu yǒu gè nán rén yāo qiú xiàn nǐ。	Some man at the door is asking to see you.
他觉得他们和他地位相等。	tā jué de tā men huò tā dì wèi xiāng děng。	He feels that they are his equals.
今年的开始将会更好。	jīn nián de kāi shǐ jiāng huì gèng hǎo。	The commencement of this year will be better.
他们决定开办一家合作社。	tā men jué dìng kāi bàn yī jiā hé zuò shè。	They decided to set up a cooperative.
你现在需要的就是放假。	nǐ xiàn zài xū yào de jiù shì fàng jià。	A holiday will be just the thing for you.
她上大学时经常练跑步.	tā shàng dà xué shí jīng cháng liàn pǎo bù.	She used to run when she was at college.
他是一位非常重要的人物。	tā shì yī wèi fēi cháng zhòng yào de rén wù。	He is a man of great importance.
别以为我能相信那件事.	biè yǐ wéi wǒ néng xiāng xìn nà jiàn shì.	You can scarcely expect me to believe that.
他将他的名字写在清单上。	tā jiàng tā de míng zi xiě zài qīng dān shàng。	He wrote down his name on the list.
这里有很大的活动空间。	zhè lǐ yǒu hěn dà de huó dòng kōng jiān。	There is plenty of space here to move about.
她和我在学院里是同学。	tā huò wǒ zài xué yuàn lǐ shì tóng xué。	She and I were contemporaries at college.
她在电话中说话不太客气.	tā zài diàn huà zhòng shuō huà bù tài kè qì.	She sounded rather off on the phone.
我们在下午四点钟喝茶。	wǒ men zài xià wǔ sì diǎn zhōng hè chá。	We have tea at four o'clock in the afternoon.
我在写现代英语的语法书.	wǒ zài xiě xiàn dài Yīng yǔ de yǔ fǎ shū.	I'm writing a grammar of modern English.
我想我们能从中学到许多。	wǒ xiǎng wǒ men néng cóng zhōng xué dào xǔ duō。	I think we may learn much from it.
他已经习惯在外面吃饭了。	tā yǐ jīng xí guàn zài wài miàn chī fàn le。	He is used to eating out all the time.
我们都支持他的科学研究。	wǒ men dōu zhī chí tā de kē xué yán jiū。	We all support his scientific research.
请给我找一个放糖的容器。	qǐng jǐ wǒ zhǎo yī gè fàng táng de róng qì。	Please find me a receptacle for sugar.
我从不错过踢足球的机会。	wǒ cóng bù cuò guò tī zú qiú de jī huì。	I never miss a chance of playing football.
父亲下午总要睡个午觉。	fù qīn xià wǔ zǒng yào shuì gè wǔ jiào。	Father always takes a nap in the afternoon.
住寄宿舍比住旅馆便宜.	zhù jì sù shè bì zhù lu:3 guǎn pián yi.	It's cheaper to live in lodgings than in a hotel.
我不喜欢读他的文学批评。	wǒ bù xǐ huan dú tā de wén xué pī píng。	I don't like to read his literary criticism.
别把刚才跟你说的事忘了。	biè bǎ gāng cái gēn nǐ shuō de shì wàng le。	Don't forget what I told you just now.
好像她已出去好几天了。	hǎo xiàng tā yǐ chū qù hǎo jǐ tiān le。	It looks as if she's gone away for a few days.
我从报纸上得知这个消息。	wǒ zòng bào zhǐ shàng dé zhī zhè gè xiāo xi。	I learned this news from the newspaper.
排球是我很喜欢的运动。	pái qiú shì wǒ hěn xǐ huan de yùn dòng。	Volleyball is a sport of which I am very fond.
他昨天参加了我们的讨论。	tā zuó tiān cān jiā le wǒ men de tǎo lùn。	He joined us in the discussion yesterday.
除我之外，他们都去睡觉了。	chú wǒ zhī wài， tā men dōu qù shuì jiào le。	They all went to sleep except me.
今天食堂比往常忙得多.	jīn tiān shí táng bì wǎng cháng máng de duō.	The canteen is more than usually busy today.
整个工作只需要半个小时。	zhěng gè gōng zuò zhǐ xū yào bàn gè xiǎo shí。	The whole job only takes half an hour.
我找不到你寄给我的那封信。	wǒ zhǎo bù dào nǐ jì jǐ wǒ de nà fēng xìn。	I can't trace that letter you sent me.
我想我们能从中学到许多。	wǒ xiǎng wǒ men néng cóng zhōng xué dào xǔ duō。	I think we may learn much from it.
我们每个星期四下午开会。	wǒ men měi gè xīng qī sì xià wǔ kāi huì。	We have meetings every Thursday afternoon.
我不喜欢读他的文学批评。	wǒ bù xǐ huan dú tā de wén xué pī píng。	I don't like to read his literary criticism.
早饭后，他读了各种报纸。	zǎo fàn hòu， tā dú le gè zhǒng bào zhǐ。	After breakfast he perused the newspapers.
这条街道比那条短四倍。	zhè tiáo jiē dào bì nà tiáo duǎn sì bèi。	This street is four times shorter than that one.
她长成了一位漂亮的女人。	tā zhǎng chéng le yī wèi piào liang de nu:3 rén。	She developed into a beautiful woman.
我百分之百同意你的看法。	wǒ bǎi fēn zhī bǎi tóng yì nǐ de kàn fǎ。	I am a hundred percent in agreement with you.
这样的天才现在很少见。	zhè yàng de tiān cái xiàn zài hěn shǎo xiàn。	It is rare to find such a genius nowadays.
你只要问他，他就会告诉你。	nǐ zhǐ yào wèn tā， tā jiù kuài gào su nǐ。	You have only to ask and he'll tell you.
我是最近才开始学法语的。	wǒ shì zuì jìn cái kāi shǐ xué fǎ yǔ de。	I've only recently started learning French.
这是一个极为重要的问题。	zhè shì yī gè jí wéi zhòng yào de wèn tí。	This is an issue of the utmost importance.
他没穿鞋，看上去矮多了。	tā mò chuān xié， kàn shàng qù ǎi duō le。	He seems much shorter without his shoes on.
刚才你男朋友给你打电话了。	gāng cái nǐ nán péng you jǐ nǐ dǎ diàn huà le。	Your boyfriend called you just now.
天花板很低, 留神别碰头.	tiān huā bǎn hěn dī,  liú shén biè pèng tou.	Mind you don't bump your head on the low ceiling.
大米是我们生活的基本食物。	dà mǐ shì wǒ men shēng huó de jī běn shí wù。	Rice is our essential foodstuff in life.
我家附近新建了一家工厂。	wǒ jiā fù jìn Xīn jiàn le yī jiā gōng chǎng。	A new factory was established near my home.
你把这个句子中的动词丢了。	nǐ bǎ zhè gè jù zi zhòng dì dòng cí diū le。	You have omitted the verb in the sentence.
老师给全班同学作了听写。	lǎo shī jǐ quán bān tóng xué zuò le tīng xiě。	The teacher dictated to the whole class.
你不请大夫来, 他就得死了.	nǐ bù qǐng dài fu lái,  tā jiù de sǐ le.	He will certainly die if you don't call a doctor.
他喜欢拿他的同学开玩笑。	tā xǐ huan ná tā de tóng xué kāi wán xiào。	He likes playing jokes on his classmates.
他们要去动物园或打排球。	tā men yào qù dòng wù yuán huò dǎ pái qiú。	They will go to the zoo or play volleyball.
爸爸每天早上走路去上班。	bà ba měi tiān zǎo shang zǒu lù qù shàng bān。	Father walks to his office every morning.
我们决定立刻去火车站。	wǒ men jué dìng lì kè qù huǒ chē zhàn。	We determined to go to the railway station at once.
这个小男孩能够数到一千。	zhè gè xiǎo nán hái néng gòu shuò dào yī qiān。	The little boy can count up to a thousand.
有的人爱先做难做的工作。	yǒu de rén ài xiān zuò nàn zuò de gōng zuò。	Some people tackle the difficult jobs first.
这个小男孩跑去找他的哥哥。	zhè gè xiǎo nán hái pǎo qù zhǎo tā de gē ge。	The little boy ran off to get his brother.
这座公路桥现在开放通行。	zhè zuò gōng lù qiáo xiàn zài kāi fàng tōng xíng。	The road bridge is now open to traffic.
把这些信送到对面邮局去。	bǎ zhè xie xìn sòng dào duì miàn yóu jú qù。	Take these letters over to the post office.
那男子一举一动像个大男孩。	nà nán zǐ yī jǔ yī dòng xiàng gè dà nán hái。	That man behaves like an overgrown child.
这家医院有二百个床位。	zhè jiā yī yuàn yǒu èr bǎi gè chuáng wèi。	This hospital has accommodation for 200 patients.
可能的话，她想跟我们一起去。	kě néng de huà， tā xiǎng gēn wǒ men yī qǐ qù。	If possible, She wants to go with us.
可能的话，她想跟我们一起去。	kě néng de huà， tā xiǎng gēn wǒ men yī qǐ qù。	If possible, She wants to go with us.
这不是一个很重要的问题。	zhè bú shì yī gè hěn zhòng yào de wèn tí。	This is not an issue of the utmost importance.
你把这个句子中的动词丢了。	nǐ bǎ zhè gè jù zi zhòng dì dòng cí diū le。	You have omitted the verb in the sentence.
不论你在哪里，我都会想念你。	bù lùn nǐ zài nǎ li， wǒ dū huì xiǎng niàn nǐ。	Wherever you are, I will miss you.
她认为自己懂得什么是生活。	tā rèn wéi zì jǐ dǒng de shén me shì shēng huó。	She esteemed that she knew what life was.
别哭，你现在已经是大男孩了。	biè kū， nǐ xiàn zài yǐ jīng shì dà nán hái le。	Don't cry, you are a big boy now.
别都挤在一块儿, 分开坐吧.	biè dōu jǐ zài yī kuài er,  fēn kāi zuò ba.	Don't all sit together, spread yourselves out.
这个小男孩跑去找他的哥哥。	zhè gè xiǎo nán hái pǎo qù zhǎo tā de gē ge。	The little boy ran off to get his brother.
听到脚步声，就知道他回来了。	tīng dào jiǎo bù shēng， jiù zhī dào tā huí lai le。	Footsteps announced his return.
他为我切了几块很好的鸡肉。	tā wèi wǒ qiè le jǐ kuài hěn hǎo de jī ròu。	He carved me some very nice pieces of chicken.
这些电影只适宜成人观看。	zhè xie diàn yǐng zhǐ shì yí chéng rén guān kàn。	These films are suitable for adults only.
这封信只用一张纸写成。	zhè fēng xìn zhǐ yòng yī zhāng zhǐ xiě chéng。	The letter was written on a single sheet of paper.
我要去图书馆还这些书。	wǒ yào qù tú shū guǎn huán zhè xie shū。	I'm just going to check in these books at the library.
他为我切了几块很好的鸡肉。	tā wèi wǒ qiè le jǐ kuài hěn hǎo de jī ròu。	He carved me some very nice pieces of chicken.
下点雨会使我们感到凉快一些。	xià diǎn yǔ kuài shǐ wǒ men gǎn dào liáng kuai yī xiē。	Some rain would cool us down.
小女孩立志要做一名科学家。	xiǎo nu:3 hái lì zhì yào zuò yī míng kē xué jiā。	The young girl aspired to be a scientist.
我希望演说者不要离题。	wǒ xī wàng yǎn shuō zhě bù yào lí tí。	I wish the speaker would confine himself to the subject.
我正在做晚饭时停电了。	wǒ zhèng zài zuò wǎn fàn shí tíng diàn le。	While I was cooking supper the electricity went off.
青少年是身体成熟期。	qīng shào nián shì shēn tǐ chéng shú qī。	Teenage is the period at which the body reaches maturity.
那就说明了她不在这里的原因。	nà jiù shuō míng le tā bù zài zhè lǐ de yuán yīn。	That explains why she is not here.
有许多来自那个国家的难民。	yǒu xǔ duō lái zì nèi gè guó jiā de nàn mín。	There are many refugees from that country.
妈妈准备了好吃的东西给我。	mā ma zhǔn bèi le hǎo chī de dōng xi jǐ wǒ。	Mother has something delicious in store for me.
使学生学习是教师的责任。	shǐ xué sheng xué xí shì jiào shī de zé rèn。	It's a teacher's business to make student learn.
我不喝酒, 给我来杯汽水吧.	wǒ bù hē jiǔ,  jǐ wǒ lái bēi qì shuǐ ba.	I won't have any wine; I'll just have (a) soda water.
她很快成为大家注意的人物。	tā hěn kuài chéng wéi dà jiā zhù yì de rén wù。	She soon becomes the centre of attention.
我认为我已找到理想的爱人了。	wǒ rèn wéi wǒ yǐ zhǎo dào lǐ xiǎng de ài ren le。	I think I've met the love of my life.
我为准备英语考试的人做辅导。	wǒ wèi zhǔn bèi Yīng yǔ kǎo shì de rén zuò fǔ dǎo。	I coach people for English exams.
我们应该对下一代负责。	wǒ men yīng gāi duì xià yī dài fù zé。	We should be responsible for the generation as yet unborn.
我为准备英语考试的人做辅导。	wǒ wèi zhǔn bèi Yīng yǔ kǎo shì de rén zuò fǔ dǎo。	I coach people for English exams.
